,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,install_clean,size_kb
0,Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,159,19.0,"10,000+",Free,0.0,Everyone,Art & Design,2018-01-07,1,4.0.3 and up,10000,False
1,Coloring book moana,ART_AND_DESIGN,3.9,967,14.0,"500,000+",Free,0.0,Everyone,Art & Design;Pretend Play,2018-01-15,2,4.0.3 and up,500000,False
2,"U Launcher Lite – FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,4.7,87510,8.7,"5,000,000+",Free,0.0,Everyone,Art & Design,2018-08-01,1,4.0.3 and up,5000000,False
4,Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,4.3,967,2.8,"100,000+",Free,0.0,Everyone,Art & Design;Creativity,2018-06-20,1,4.4 and up,100000,False
5,Paper flowers instructions,ART_AND_DESIGN,4.4,167,5.6,"50,000+",Free,0.0,Everyone,Art & Design,2017-03-26,1,2.3 and up,50000,False
6,Smoke Effect Photo Maker - Smoke Editor,ART_AND_DESIGN,3.8,178,19.0,"50,000+",Free,0.0,Everyone,Art & Design,2018-04-26,1,4.0.3 and up,50000,False
7,Infinite Painter,ART_AND_DESIGN,4.1,36815,29.0,"1,000,000+",Free,0.0,Everyone,Art & Design,2018-06-14,6,4.2 and up,1000000,False
8,Garden Coloring Book,ART_AND_DESIGN,4.4,13791,33.0,"1,000,000+",Free,0.0,Everyone,Art & Design,2017-09-20,2,3.0 and up,1000000,False
9,Kids Paint Free - Drawing Fun,ART_AND_DESIGN,4.7,121,3.1,"10,000+",Free,0.0,Everyone,Art & Design;Creativity,2018-07-03,2,4.0.3 and up,10000,False
10,Text on Photo - Fonteee,ART_AND_DESIGN,4.4,13880,28.0,"1,000,000+",Free,0.0,Everyone,Art & Design,2017-10-27,1,4.1 and up,1000000,False
11,Name Art Photo Editor - Focus n Filters,ART_AND_DESIGN,4.4,8788,12.0,"1,000,000+",Free,0.0,Everyone,Art & Design,2018-07-31,1,4.0 and up,1000000,False
12,Tattoo Name On My Photo Editor,ART_AND_DESIGN,4.2,44829,20.0,"10,000,000+",Free,0.0,Teen,Art & Design,2018-04-02,3,4.1 and up,10000000,False
13,Mandala Coloring Book,ART_AND_DESIGN,4.6,4326,21.0,"100,000+",Free,0.0,Everyone,Art & Design,2018-06-26,1,4.4 and up,100000,False
14,3D Color Pixel by Number - Sandbox Art Coloring,ART_AND_DESIGN,4.4,1518,37.0,"100,000+",Free,0.0,Everyone,Art & Design,2018-08-03,1,2.3 and up,100000,False
16,Photo Designer - Write your name with shapes,ART_AND_DESIGN,4.7,3632,5.5,"500,000+",Free,0.0,Everyone,Art & Design,2018-07-31,3,4.1 and up,500000,False
17,350 Diy Room Decor Ideas,ART_AND_DESIGN,4.5,27,17.0,"10,000+",Free,0.0,Everyone,Art & Design,2017-11-07,1,2.3 and up,10000,False
18,FlipaClip - Cartoon animation,ART_AND_DESIGN,4.3,194216,39.0,"5,000,000+",Free,0.0,Everyone,Art & Design,2018-08-03,2,4.0.3 and up,5000000,False
19,ibis Paint X,ART_AND_DESIGN,4.6,224399,31.0,"10,000,000+",Free,0.0,Everyone,Art & Design,2018-07-30,5,4.1 and up,10000000,False
20,Logo Maker - Small Business,ART_AND_DESIGN,4.0,450,14.0,"100,000+",Free,0.0,Everyone,Art & Design,2018-04-20,4,4.1 and up,100000,False
21,Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4.1,654,12.0,"100,000+",Free,0.0,Everyone,Art & Design,2018-03-20,1,4.0.3 and up,100000,False
22,Superheroes Wallpapers | 4K Backgrounds,ART_AND_DESIGN,4.7,7699,4.2,"500,000+",Free,0.0,Everyone 10+,Art & Design,2018-07-12,2,4.0.3 and up,500000,False
24,HD Mickey Minnie Wallpapers,ART_AND_DESIGN,4.7,118,23.0,"50,000+",Free,0.0,Everyone,Art & Design,2018-07-07,1,4.1 and up,50000,False
25,Harley Quinn wallpapers HD,ART_AND_DESIGN,4.8,192,6.0,"10,000+",Free,0.0,Everyone,Art & Design,2018-04-25,1,3.0 and up,10000,False
26,Colorfit - Drawing & Coloring,ART_AND_DESIGN,4.7,20260,25.0,"500,000+",Free,0.0,Everyone,Art & Design;Creativity,2017-10-11,1,4.0.3 and up,500000,False
27,Animated Photo Editor,ART_AND_DESIGN,4.1,203,6.1,"100,000+",Free,0.0,Everyone,Art & Design,2018-03-21,1,4.0.3 and up,100000,False
28,Pencil Sketch Drawing,ART_AND_DESIGN,3.9,136,4.6,"10,000+",Free,0.0,Everyone,Art & Design,2018-07-12,6,2.3 and up,10000,False
29,Easy Realistic Drawing Tutorial,ART_AND_DESIGN,4.1,223,4.2,"100,000+",Free,0.0,Everyone,Art & Design,2017-08-22,1,2.3 and up,100000,False
30,Pink Silver Bow Keyboard Theme,ART_AND_DESIGN,4.2,1120,9.2,"100,000+",Free,0.0,Everyone,Art & Design,2018-07-12,6,4.0.3 and up,100000,False
31,Art Drawing Ideas,ART_AND_DESIGN,4.1,227,5.2,"50,000+",Free,0.0,Everyone,Art & Design,2018-05-31,1,2.3 and up,50000,False
32,Anime Manga Coloring Book,ART_AND_DESIGN,4.5,5035,11.0,"100,000+",Free,0.0,Everyone,Art & Design,2018-07-19,2,4.0 and up,100000,False
33,Easy Origami Ideas,ART_AND_DESIGN,4.2,1015,11.0,"100,000+",Free,0.0,Everyone,Art & Design,2018-01-06,1,4.1 and up,100000,False
34,I Creative Idea,ART_AND_DESIGN,4.7,353,4.2,"10,000+",Free,0.0,Teen,Art & Design,2018-04-27,1,4.1 and up,10000,False
35,How to draw Ladybug and Cat Noir,ART_AND_DESIGN,3.8,564,9.2,"100,000+",Free,0.0,Everyone,Art & Design,2018-07-11,2,4.1 and up,100000,False
36,UNICORN - Color By Number & Pixel Art Coloring,ART_AND_DESIGN,4.7,8145,24.0,"500,000+",Free,0.0,Everyone,Art & Design;Creativity,2018-08-02,1,4.4 and up,500000,False
38,PIP Camera - PIP Collage Maker,ART_AND_DESIGN,4.7,158,11.0,"10,000+",Free,0.0,Everyone,Art & Design,2017-11-29,1,4.0.3 and up,10000,False
39,How To Color Disney Princess - Coloring Pages,ART_AND_DESIGN,4.0,591,9.4,"500,000+",Free,0.0,Everyone,Art & Design,2018-03-31,1,4.0 and up,500000,False
40,Drawing Clothes Fashion Ideas,ART_AND_DESIGN,4.2,117,15.0,"10,000+",Free,0.0,Everyone,Art & Design,2018-07-20,2,4.0.3 and up,10000,False
41,Sad Poetry Photo Frames 2018,ART_AND_DESIGN,4.5,176,10.0,"100,000+",Free,0.0,Everyone,Art & Design,2018-04-02,1,4.0.3 and up,100000,False
43,Paint Splash!,ART_AND_DESIGN,3.8,2206,1.2,"100,000+",Free,0.0,Everyone,Art & Design;Creativity,2018-04-15,1,4.1 and up,100000,False
44,Popsicle Sticks and Similar DIY Craft Ideas,ART_AND_DESIGN,4.2,26,12.0,"10,000+",Free,0.0,Everyone,Art & Design,2018-01-03,1,4.1 and up,10000,False
45,"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,174531,24.0,"10,000,000+",Free,0.0,Everyone,Art & Design,2018-07-31,1,4.1 and up,10000000,False
46,Install images with music to make video without Net - 2018,ART_AND_DESIGN,4.6,1070,26.0,"100,000+",Free,0.0,Everyone,Art & Design,2017-11-14,1,4.1 and up,100000,False
47,Little Teddy Bear Colouring Book Game,ART_AND_DESIGN,4.2,85,8.0,"100,000+",Free,0.0,Everyone,Art & Design,2017-12-17,2,4.1 and up,100000,False
48,How To Draw Food,ART_AND_DESIGN,4.3,845,7.9,"100,000+",Free,0.0,Everyone,Art & Design,2018-05-28,1,2.3 and up,100000,False
49,Monster Truck Stunt 3D 2019,AUTO_AND_VEHICLES,4.2,367,25.0,"100,000+",Free,0.0,Everyone,Auto & Vehicles,2018-05-10,1,4.0.3 and up,100000,False
50,Real Tractor Farming,AUTO_AND_VEHICLES,4.0,1598,56.0,"1,000,000+",Free,0.0,Everyone,Auto & Vehicles,2018-07-26,11,4.1 and up,1000000,False
51,Ultimate F1 Racing Championship,AUTO_AND_VEHICLES,3.8,284,57.0,"100,000+",Free,0.0,Everyone,Auto & Vehicles,2018-07-26,3,4.1 and up,100000,False
53,American Muscle Car Race,AUTO_AND_VEHICLES,3.9,129,35.0,"100,000+",Free,0.0,Everyone,Auto & Vehicles,2018-07-26,3,4.1 and up,100000,False
54,Offroad Oil Tanker Driver Transport Truck 2019,AUTO_AND_VEHICLES,4.3,542,33.0,"100,000+",Free,0.0,Everyone,Auto & Vehicles,2018-07-31,4,4.1 and up,100000,False
55,Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,4.9,10479,33.0,"100,000+",Free,0.0,Everyone,Auto & Vehicles,2018-07-18,1,4.0 and up,100000,False
56,Gas Prices (Germany only),AUTO_AND_VEHICLES,4.4,805,5.6,"50,000+",Free,0.0,Everyone,Auto & Vehicles,2018-07-29,2,4.4 and up,50000,False
57,Extreme Rally Championship,AUTO_AND_VEHICLES,4.2,129,54.0,"100,000+",Free,0.0,Everyone,Auto & Vehicles,2018-07-26,3,4.1 and up,100000,False
58,Restart Navigator,AUTO_AND_VEHICLES,4.0,1403,0.201,"100,000+",Free,0.0,Everyone,Auto & Vehicles,2014-08-26,1,2.2 and up,100000,True
59,"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,3.9,3971,3.6,"100,000+",Free,0.0,Everyone,Auto & Vehicles,2018-07-30,2,4.4 and up,100000,False
60,CityBus Lviv,AUTO_AND_VEHICLES,4.6,534,5.7,"10,000+",Free,0.0,Everyone,Auto & Vehicles,2018-07-08,1,4.0.3 and up,10000,False
61,CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,7774,17.0,"100,000+",Free,0.0,Everyone,Auto & Vehicles,2018-07-03,1,4.2 and up,100000,False
62,"ezETC (ETC balance inquiry, meter trial, real-time traffic)",AUTO_AND_VEHICLES,4.3,38846,8.6,"1,000,000+",Free,0.0,Everyone,Auto & Vehicles,2018-07-28,2,4.1 and up,1000000,False
63,Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,2431,2.4,"100,000+",Free,0.0,Everyone,Auto & Vehicles,2018-06-12,1,4.0 and up,100000,False
64,DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,6090,27.0,"100,000+",Free,0.0,Everyone,Auto & Vehicles,2018-07-03,1,4.2 and up,100000,False
65,Check Vehicle Tax,AUTO_AND_VEHICLES,3.9,295,2.7,"10,000+",Free,0.0,Everyone,Auto & Vehicles,2018-07-30,0,4.4 and up,10000,False
66,Used Cars Mexico,AUTO_AND_VEHICLES,4.0,190,2.5,"50,000+",Free,0.0,Everyone,Auto & Vehicles,2016-10-14,1,2.3 and up,50000,False
69,Used cars for sale - Trovit,AUTO_AND_VEHICLES,4.2,52530,7.0,"5,000,000+",Free,0.0,Everyone,Auto & Vehicles,2018-07-16,4,4.0.3 and up,5000000,False
70,"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",AUTO_AND_VEHICLES,4.8,116986,35.0,"5,000,000+",Free,0.0,Everyone,Auto & Vehicles,2018-08-02,1,4.0.3 and up,5000000,False
71,SK Enca Direct Malls - Used Cars Search,AUTO_AND_VEHICLES,3.6,1379,16.0,"500,000+",Free,0.0,Everyone,Auto & Vehicles,2018-08-02,2,4.2 and up,500000,False
74,Tickets SDA 2019 + Exam RF,AUTO_AND_VEHICLES,4.8,7021,17.0,"500,000+",Free,0.0,Everyone,Auto & Vehicles,2018-07-27,1,4.0 and up,500000,False
75,Super Cars Wallpapers And Backgrounds,AUTO_AND_VEHICLES,4.6,197,3.4,"50,000+",Free,0.0,Everyone,Auto & Vehicles,2018-06-14,1,4.0 and up,50000,False
76,"Police Lights, Sirens & Follow Me",AUTO_AND_VEHICLES,4.5,737,8.9,"100,000+",Free,0.0,Everyone,Auto & Vehicles,2018-06-08,2,4.1 and up,100000,False
77,Police Detector (Speed Camera Radar),AUTO_AND_VEHICLES,4.3,3574,3.9,"1,000,000+",Free,0.0,Everyone 10+,Auto & Vehicles,2018-07-04,1,4.0 and up,1000000,False
78,Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,994,2.9,"100,000+",Free,0.0,Everyone,Auto & Vehicles,2018-03-27,1,4.1 and up,100000,False
79,Tickets + PDA 2018 Exam,AUTO_AND_VEHICLES,4.9,197136,38.0,"1,000,000+",Free,0.0,Everyone,Auto & Vehicles,2018-07-15,8,4.1 and up,1000000,False
80,Pick Your Part Garage,AUTO_AND_VEHICLES,3.9,142,32.0,"50,000+",Free,0.0,Everyone,Auto & Vehicles,2018-07-24,1,6.0 and up,50000,False
81,PakWheels: Buy & Sell Cars,AUTO_AND_VEHICLES,4.4,15168,37.0,"1,000,000+",Free,0.0,Everyone,Auto & Vehicles,2018-07-27,10,4.2 and up,1000000,False
82,Supervision service,AUTO_AND_VEHICLES,4.0,2155,15.0,"500,000+",Free,0.0,Everyone,Auto & Vehicles,2018-07-30,1,5.0 and up,500000,False
83,Speed Camera Detector - Traffic & Speed Alert,AUTO_AND_VEHICLES,4.3,138,5.4,"100,000+",Free,0.0,Everyone,Auto & Vehicles,2018-07-23,1,4.0.3 and up,100000,False
84,Used car search Goo net whole car Go to net,AUTO_AND_VEHICLES,3.7,5414,18.0,"1,000,000+",Free,0.0,Everyone,Auto & Vehicles,2018-07-23,3,4.4 and up,1000000,False
86,BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,348,38.0,"100,000+",Free,0.0,Everyone,Auto & Vehicles,2018-07-29,1,2.3 and up,100000,False
87,RST - Sale of cars on the PCT,AUTO_AND_VEHICLES,3.2,250,1.1,"100,000+",Free,0.0,Everyone,Auto & Vehicles,2018-04-27,1,4.0.3 and up,100000,False
90,SMS Park,AUTO_AND_VEHICLES,4.5,3617,7.9,"100,000+",Free,0.0,Everyone,Auto & Vehicles,2018-05-16,2,4.1 and up,100000,False
91,SKencar,AUTO_AND_VEHICLES,3.7,4806,35.0,"1,000,000+",Free,0.0,Everyone,Auto & Vehicles,2018-07-31,4,4.0.3 and up,1000000,False
93,auto fines,AUTO_AND_VEHICLES,4.6,31433,17.0,"1,000,000+",Free,0.0,Everyone,Auto & Vehicles,2018-08-02,1,4.0.3 and up,1000000,False
94,"Used car is the first car - used car purchase, used car quotation, dealer information to",AUTO_AND_VEHICLES,4.6,5097,19.0,"1,000,000+",Free,0.0,Everyone,Auto & Vehicles,2018-07-23,1,4.0.3 and up,1000000,False
95,All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),AUTO_AND_VEHICLES,4.0,1754,14.0,"500,000+",Free,0.0,Everyone,Auto & Vehicles,2018-06-02,2,4.0 and up,500000,False
96,Inquiry Fines and Debits of Vehicles,AUTO_AND_VEHICLES,4.4,2680,2.2,"500,000+",Free,0.0,Everyone,Auto & Vehicles,2018-03-20,1,4.0.3 and up,500000,False
97,Gas Station,AUTO_AND_VEHICLES,4.0,1288,4.5,"100,000+",Free,0.0,Everyone,Auto & Vehicles,2018-04-21,2,4.0 and up,100000,False
98,Hush - Beauty for Everyone,BEAUTY,4.7,18900,17.0,"500,000+",Free,0.0,Everyone,Beauty,2018-08-02,6,5.0 and up,500000,False
99,"ipsy: Makeup, Beauty, and Tips",BEAUTY,4.9,49790,14.0,"1,000,000+",Free,0.0,Everyone,Beauty,2017-11-09,2,4.1 and up,1000000,False
100,Natural recipes for your beauty,BEAUTY,4.7,1150,9.8,"100,000+",Free,0.0,Everyone,Beauty,2018-05-15,4,4.1 and up,100000,False
101,"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739,21.0,"500,000+",Free,0.0,Everyone,Beauty,2018-07-12,1,4.0.3 and up,500000,False
103,Beauty Selfie Camera,BEAUTY,4.2,2225,52.0,"500,000+",Free,0.0,Everyone,Beauty,2018-02-28,1,4.1 and up,500000,False
104,Hairstyles step by step,BEAUTY,4.6,4369,14.0,"100,000+",Free,0.0,Everyone,Beauty,2018-07-25,1,4.0.3 and up,100000,False
105,Filters for Selfie,BEAUTY,4.3,8572,25.0,"1,000,000+",Free,0.0,Everyone,Beauty,2018-05-10,1,4.0 and up,1000000,False
106,Tie - Always be happy,BEAUTY,4.7,964,9.0,"50,000+",Free,0.0,Everyone,Beauty,2018-06-21,4,4.2 and up,50000,False
108,Prom MakeUp Tutorial,BEAUTY,4.8,104,12.0,"10,000+",Free,0.0,Everyone,Beauty,2018-06-26,1,4.0.3 and up,10000,False
110,Sweet Selfie Beauty Camera,BEAUTY,4.3,601,35.0,"100,000+",Free,0.0,Everyone,Beauty,2018-06-02,2,4.0 and up,100000,False
111,Colors of white in Urdu,BEAUTY,4.5,36,6.7,"10,000+",Free,0.0,Everyone,Beauty,2018-07-26,6,4.0 and up,10000,False
112,Selfie Camera Photo Editor & Filter & Sticker,BEAUTY,4.1,187,30.0,"50,000+",Free,0.0,Teen,Beauty,2018-07-24,3,4.0.3 and up,50000,False
114,Eyes Makeup Beauty Tips,BEAUTY,4.2,30,2.9,"10,000+",Free,0.0,Everyone,Beauty,2018-04-09,3,4.0.3 and up,10000,False
115,Photo Editor 2018,BEAUTY,4.5,134,17.0,"10,000+",Free,0.0,Everyone,Beauty,2018-03-01,1,4.0.3 and up,10000,False
116,Step By Step Eyes Makeup Tutorial,BEAUTY,4.4,74,2.9,"10,000+",Free,0.0,Everyone,Beauty,2018-04-05,2,4.0.3 and up,10000,False
119,Mirror Camera (Mirror + Selfie Camera),BEAUTY,4.1,9315,2.6,"1,000,000+",Free,0.0,Everyone,Beauty,2017-11-21,1,4.0 and up,1000000,False
120,Beauty Tips - Beauty Tips in Sinhala,BEAUTY,4.4,75,4.2,"50,000+",Free,0.0,Everyone,Beauty,2017-10-18,1,4.0.3 and up,50000,False
121,Haircut Tutorials/Haircut Videos,BEAUTY,4.6,38,7.1,"10,000+",Free,0.0,Everyone,Beauty,2018-05-29,1,4.0 and up,10000,False
